ensemble,top_n,policy,hold_floor,score_edge,fold,cost_bps,days,total_return,cagr,max_drawdown,annual_turnover,trade_days,execution_skips,positive_month_share,total_cost_fraction_sum,execution_skip_rate,benchmark_total_return,benchmark_cagr,benchmark_max_drawdown
H60,5,DAILY,,,WF_2019_2020,20.0,505,1.4338940583880948,0.5587208989129584,-0.4482549987560709,30.826558270332296,504,0,0.7083333333333334,0.12355088830569691,0.0,,,
H60,5,DAILY,,,WF_2019_2020,40.0,505,1.150789508943236,0.46544542647793263,-0.45479213883992087,30.826558270332296,504,0,0.7083333333333334,0.24710177661139382,0.0,,,
H60,5,DAILY,,,WF_2021_2022,20.0,503,-0.4323408388184127,-0.24699236464884378,-0.622748189385125,11.977683379444665,502,0,0.4166666666666667,0.04781567253857672,0.0,,,
H60,5,DAILY,,,WF_2021_2022,40.0,503,-0.4588597030507461,-0.26482650987341494,-0.6334666645130174,11.977683379444665,502,0,0.4166666666666667,0.09563134507715344,0.0,,,
H60,5,EVENT_LOOSE,0.7,0.03,WF_2019_2020,20.0,505,1.4749557393029566,0.5717882852812795,-0.35520372956297397,5.347648862005924,46,0,0.75,0.021433037105658664,0.0,,,
H60,5,EVENT_LOOSE,0.7,0.03,WF_2019_2020,40.0,505,1.4224313578242516,0.5550533487895544,-0.3568360555033714,5.347648862005924,46,0,0.75,0.04286607421131733,0.0,,,
H60,5,EVENT_LOOSE,0.7,0.03,WF_2021_2022,20.0,503,-0.20344351713810105,-0.10770164157971163,-0.44233378586189753,2.0890966917781326,16,0,0.5,0.008339806634638099,0.0,,,
H60,5,EVENT_LOOSE,0.7,0.03,WF_2021_2022,40.0,503,-0.21006461413261723,-0.11142521163582708,-0.44509200079136046,2.0890966917781326,16,0,0.5,0.016679613269276198,0.0,,,
H60,5,EVENT_BALANCED,0.8,0.05,WF_2019_2020,20.0,505,1.1954595584017471,0.4805551073334966,-0.32589564581740316,3.5465118172929904,30,0,0.625,0.014214194188356826,0.0,,,
H60,5,EVENT_BALANCED,0.8,0.05,WF_2019_2020,40.0,505,1.1644473714443269,0.47008175768845284,-0.32696103692775624,3.5465118172929904,30,0,0.625,0.028428388376713652,0.0,,,
H60,5,EVENT_BALANCED,0.8,0.05,WF_2021_2022,20.0,503,-0.44390415125182503,-0.25471651753119595,-0.5914916813199542,0.6922193266287817,6,0,0.375,0.002763383502335533,0.0,,,
H60,5,EVENT_BALANCED,0.8,0.05,WF_2021_2022,40.0,503,-0.44544009545227736,-0.25574851690378053,-0.5918855869103697,0.6922193266287817,6,0,0.375,0.005526767004671066,0.0,,,
H60,5,EVENT_STRICT,0.85,0.1,WF_2019_2020,20.0,505,1.4169526783746038,0.5532973463408664,-0.34065179077637375,2.836500892654975,25,0,0.625,0.011368515482466368,0.0,,,
H60,5,EVENT_STRICT,0.85,0.1,WF_2019_2020,40.0,505,1.3896091651127276,0.5445033569939919,-0.34187888883661965,2.836500892654975,25,0,0.625,0.022737030964932736,0.0,,,
H60,5,EVENT_STRICT,0.85,0.1,WF_2021_2022,20.0,503,-0.38183480131189973,-0.21414100906033362,-0.5735341902255602,0.5981024358945325,4,0,0.4166666666666667,0.0023876628988488083,0.0,,,
H60,5,EVENT_STRICT,0.85,0.1,WF_2021_2022,40.0,503,-0.3833105994314302,-0.21508150842504203,-0.5739279398857351,0.5981024358945325,4,0,0.4166666666666667,0.004775325797697617,0.0,,,
H60,10,MONTHLY,,,WF_2019_2020,20.0,505,1.4292598502620457,0.5572392044094145,-0.3393915239436809,4.747077154179865,24,0,0.7083333333333334,0.019025983832228824,0.0,,,
H60,10,MONTHLY,,,WF_2019_2020,40.0,505,1.3834153912278744,0.542504375650182,-0.33995259202805617,4.747077154179865,24,0,0.7083333333333334,0.03805196766445765,0.0,,,
H60,10,MONTHLY,,,WF_2021_2022,20.0,503,-0.07045576948207688,-0.03594127576732009,-0.39971824363257935,3.8271221749630855,24,0,0.5416666666666666,0.015278114714336764,0.0,,,
H60,10,MONTHLY,,,WF_2021_2022,40.0,503,-0.08456514153973338,-0.043300429105905924,-0.40333925999906517,3.8271221749630855,24,0,0.5416666666666666,0.030556229428673528,0.0,,,
H60,10,WEEKLY,,,WF_2019_2020,20.0,505,1.8783310587961588,0.6947895488456091,-0.3974943806490415,10.471041833318179,105,0,0.6666666666666666,0.04196727083988637,0.0,,,
